ID,FiscalWeekBeginDate,Invoice Date,Region,Facility Name,Branch Id,Channel,soldto_name,shipto_name,Product Type,Major Code,Major Desc,Mid Code,Mid Desc,Minor Code,Minor Desc,Item,Item Desc,Sales,Gross Profit,GM Percent,TLE
13,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2611 - BESSEMER AL (84LUMEIGPA-197),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),457658,S4S STD and BTR CEDAR GRN (8X8X12),1308,250.13,0.19,0.01
14,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2611 - BESSEMER AL (84LUMEIGPA-197),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),461134,S4S #2 and BTR CEDAR GRN (6X10X10),318,69.67,0.22,0
15,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2611 - BESSEMER AL (84LUMEIGPA-197),Specialty,1,Specialty Products (01),1,Lumber (0101),CED,Cedar (0101CED),706724,S1S2E CEDAR APPEARANCE GRADE GRN (1X6X18),129.6,23.65,0.18,0
16,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,84 LUMBER,84 LBR #2611 - BESSEMER AL (84LUMEIGPA-197),Specialty,1,Specialty Products (01),3,Other (0103),MET,Metal Products (0103MET),199535,ANCHOR BOLT PLAIN W/NUT  and  WSHR 50CT (1/2X10),1315,696.68,0.53,0.03
17,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,ACE HARDWARE CORPORATION,FARM AND BUILDERS SPLY#18116 (ACEHAROAKIL-298),Structural,8,Reinforcing Products (08),1,Rebar (0801),STE,Steel (0801STE),311887,STEEL REBAR ROD #3 GRADE 40 (3/8X20),4873.12,1604.99,0.33,0.17
18,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS FIRSTSOURCE,BFS #HUNTALYD-HUNTSVILLE AL YA (BUIFIRDALTX-322),Specialty,1,Specialty Products (01),3,Other (0103),INS,Insulation Products (0103INS),201549,DUP XPS RESIDENTIAL SHEATH SE R3 286632 (.55X48X96),1594.88,263.54,0.17,0.05
19,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS FIRSTSOURCE,BFS #HUNTALYD-HUNTSVILLE AL YA (BUIFIRDALTX-322),Structural,8,Reinforcing Products (08),1,Rebar (0801),STE,Steel (0801STE),312276,STEEL REBAR ROD #5 GRADE 40 (5/8X20),5673.6,862.87,0.15,0.25
20,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS FIRSTSOURCE,BFS #SAUAYD-AUBURN AL YARD (BUIFIRDALTX-79),Specialty,1,Specialty Products (01),2,Panels (0102),OSB,OSB Products (0102OSB),259097,HUBER ZIP OSB COMBO S-17187 (7/16X4X8),14060.8,828.13,0.06,0.67
21,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS FIRSTSOURCE,BFS #SAUAYD-AUBURN AL YARD (BUIFIRDALTX-79),Specialty,1,Specialty Products (01),2,Panels (0102),OSB,OSB Products (0102OSB),259143,HUBER ZIP TAPE ROLLER,33.5,8,0.24,0
22,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS FIRSTSOURCE,BFS #SAUAYD-AUBURN AL YARD (BUIFIRDALTX-79),Specialty,1,Specialty Products (01),3,Other (0103),MIS,Miscellaneous (0103MIS),246014,POLYETHYLENE CLEAR (10.0 MIL 20X100),3160,533.33,0.17,0.05
23,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC - SCOTT (BUISUPFORAL-5),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),301004,LVL ONCENTER BEAM 2.1E (1-3/4X11-7/8X26),286.52,69.09,0.24,0.01
24,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC - SCOTT (BUISUPFORAL-5),Structural,6,Lumber (06),1,Framing Lumber (0601),SYP,Southern Pine (0601SYP),161817,YELLOW PINE #2 KDHT S4S (2X12X24),3640.32,378.2,0.1,0.14
25,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC (BUISUPFORAL-1),Specialty,3,Siding Products (03),1,Lumber (0301),CED,Cedar (0301CED),260231,SEL QUALITY BEVEL CEDAR KD 8PC (3/4X8X12),239.2,81.36,0.34,0
26,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC (BUISUPFORAL-1),Specialty,4,Engineered Wood Products (04),2,Private (0402),IJO,I-Joist (0402IJO),125903,I-JOIST ONCENTER 40 SERIES (2-1/2X11-7/8X32),2515.2,643.97,0.26,0.06
27,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC (BUISUPFORAL-1),Specialty,4,Engineered Wood Products (04),2,Private (0402),IJO,I-Joist (0402IJO),356165,I-JOIST ONCENTER 40 SERIES (2-1/2X11-7/8X14),110.04,27.76,0.25,0
28,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC (BUISUPFORAL-1),Specialty,4,Engineered Wood Products (04),2,Private (0402),IJO,I-Joist (0402IJO),543783,I-JOIST ONCENTER 40 SERIES (2-1/2X11-7/8X08),83.84,22.1,0.26,0
29,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC (BUISUPFORAL-1),Specialty,4,Engineered Wood Products (04),2,Private (0402),IJO,I-Joist (0402IJO),787830,I-JOIST ONCENTER 40 SERIES (2-1/2X11-7/8X34),86.46,20.53,0.24,0
30,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC (BUISUPFORAL-1),Specialty,4,Engineered Wood Products (04),2,Private (0402),IJO,I-Joist (0402IJO),959953,I-JOIST ONCENTER 40 SERIES (2-1/2X11-7/8X20),314.4,81.99,0.26,0.01
31,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC (BUISUPFORAL-1),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),102348,LVL ONCENTER BEAM 2.1E (1-3/4X11-7/8X16),352.64,84.71,0.24,0.01
32,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC (BUISUPFORAL-1),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),275852,LVL ONCENTER BEAM 2.1E (1-3/4X11-7/8X12),132.24,31.83,0.24,0
33,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC (BUISUPFORAL-1),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),517331,LVL ONCENTER BEAM 2.1E (1-3/4X11-7/8X10),220.4,45.85,0.21,0.01
34,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC (BUISUPFORAL-1),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),660004,LVL ONCENTER BEAM 2.1E (1-3/4X9-1/4X12),307.44,73.48,0.24,0.01
35,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC (BUISUPFORAL-1),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),987702,LVL ONCENTER BEAM 2.1E (1-3/4X9-1/4X10),256.2,61.28,0.24,0.01
36,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO INC (BUISUPFORAL-1),Specialty,4,Engineered Wood Products (04),2,Private (0402),RIM,Rim Board (0402RIM),235637,RIM BOARD ONCENTER OSB SE (1-1/8X11-7/8X12),285.12,93.77,0.33,0.01
37,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO -SYLVANIA (BUISUPFORAL-2),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),667867,LVL ONCENTER BEAM 2.1E (1-3/4X16X14),103.88,24.43,0.24,0
38,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO -SYLVANIA (BUISUPFORAL-2),Structural,6,Lumber (06),1,Framing Lumber (0601),SYP,Southern Pine (0601SYP),141861,YELLOW PINE #2 KDHT S4S (2X4X10),1372.81,298.69,0.22,0.12
39,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO -SYLVANIA (BUISUPFORAL-2),Structural,6,Lumber (06),1,Framing Lumber (0601),SYP,Southern Pine (0601SYP),163508,YELLOW PINE #2 KDHT S4S (2X6X10),576,34.42,0.06,0.06
40,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO -SYLVANIA (BUISUPFORAL-2),Structural,6,Lumber (06),1,Framing Lumber (0601),SYP,Southern Pine (0601SYP),197143,YELLOW PINE #2 KDHT S4S (2X4X12),823.68,161.85,0.2,0.07
41,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,BUILDERS SUPPLY CO INC,BUILDERS SUPPLY CO -SYLVANIA (BUISUPFORAL-2),Structural,7,Panels (07),1,Sheathing (0701),SPL,Southern Plywood (0701SPL),102830,YELLOW PINE 11/32 RATED SHEATHING EXP1 (3/8X4X8),1411.2,206.57,0.15,0.06
42,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,EAST MISSISSIPPI LUMBER #2748 (DOITFORIN-203),Specialty,3,Siding Products (03),3,Other (0303),VNY,Vinyl Products (0303VNY),531652,PG VISION PRO D5 TRAD 135 ALMOND (.040X12),10.45,2.17,0.21,0
43,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,EAST MISSISSIPPI LUMBER #2748 (DOITFORIN-203),Structural,6,Lumber (06),1,Framing Lumber (0601),SYP,Southern Pine (0601SYP),189488,YELLOW PINE #2 KDHT S4S (2X6X18),1025.28,86.53,0.08,0.1
44,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,1,Specialty Products (01),2,Panels (0102),OSB,OSB Products (0102OSB),261231,HUBER ADVANTECH SUBFLOOR ADHESIVE CAN (24 OZ CAN),374.14,100.54,0.27,0
45,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),1,Branded (0401),OWT,Open Web Truss (0401OWT),ZZ134094,TRIMMABLE END OPEN WEB TRUSS (3-1/2X16X12),434.16,114.13,0.26,0.01
46,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),1,Branded (0401),OWT,Open Web Truss (0401OWT),ZZ134104,TRIMMABLE END OPEN WEB TRUSS (3-1/2X16X14),337.68,92.55,0.27,0.01
47,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),1,Branded (0401),OWT,Open Web Truss (0401OWT),ZZ134126,TRIMMABLE END OPEN WEB TRUSS (3-1/2X16X16),1929.6,514.95,0.27,0.03
48,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),1,Branded (0401),OWT,Open Web Truss (0401OWT),ZZ134161,TRIMMABLE END OPEN WEB TRUSS (3-1/2X16X20),2532.6,677.21,0.27,0.04
49,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),1,Branded (0401),OWT,Open Web Truss (0401OWT),ZZ134169,TRIMMABLE END OPEN WEB TRUSS (3-1/2X16X22),1591.92,433.62,0.27,0.02
50,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),1,Branded (0401),OWT,Open Web Truss (0401OWT),ZZ134212,TRIMMABLE END OPEN WEB TRUSS (3-1/2X16X26),627.12,169.1,0.27,0.01
51,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),1,Branded (0401),OWT,Open Web Truss (0401OWT),ZZ134228,TRIMMABLE END OPEN WEB TRUSS (3-1/2X16X28),5909.4,1572.97,0.27,0.08
52,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),IJO,I-Joist (0402IJO),341417,I-JOIST ONCENTER 40 SERIES (2-1/2X11-7/8X02),41.92,10.73,0.26,0
53,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),IJO,I-Joist (0402IJO),358275,I-JOIST ONCENTER 40 SERIES (2-1/2X16X04),189.44,50.24,0.27,0
54,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),IJO,I-Joist (0402IJO),533698,I-JOIST ONCENTER 40 SERIES (2-1/2X11-7/8X10),288.2,74.61,0.26,0.01
55,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),IJO,I-Joist (0402IJO),543783,I-JOIST ONCENTER 40 SERIES (2-1/2X11-7/8X08),125.76,33.15,0.26,0
56,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),IJO,I-Joist (0402IJO),627691,I-JOIST ONCENTER 40 SERIES (2-1/2X16X02),272.32,70.7,0.26,0.01
57,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),IJO,I-Joist (0402IJO),949678,I-JOIST ONCENTER 40 SERIES (2-1/2X11-7/8X04),20.96,5.55,0.26,0
58,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),341907,LVL ONCENTER BEAM 2.1E (1-3/4X16X12),801.36,192.66,0.24,0.02
59,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),370393,LVL ONCENTER BEAM 2.1E (1-3/4X16X16),712.32,171.61,0.24,0.02
60,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),425388,LVL ONCENTER BEAM 2.1E (1-3/4X16X28),1869.84,451.84,0.24,0.04
61,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),517331,LVL ONCENTER BEAM 2.1E (1-3/4X11-7/8X10),110.2,22.93,0.21,0
62,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),523224,LVL ONCENTER BEAM 2.1E (1-3/4X16X26),385.84,92.5,0.24,0.01
63,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),542868,LVL ONCENTER BEAM 2.1E (1-3/4X16X20),296.8,71.33,0.24,0.01
64,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),648359,LVL ONCENTER BEAM 2.1E (1-3/4X16X24),534.24,128.57,0.24,0.01
65,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),773007,LVL ONCENTER BEAM 2.1E (1-3/4X16X44),652.96,-222.85,-0.34,0.02
66,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),933506,LVL ONCENTER BEAM 2.1E (1-3/4X16X06),89.04,21.41,0.24,0
67,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),973749,LVL ONCENTER BEAM 2.1E (1-3/4X16X22),979.44,233.7,0.24,0.02
68,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),LVL,Laminated Veneer Lumber (0402LVL),978212,LVL ONCENTER BEAM 2.1E (1-3/4X11-7/8X08),88.16,20.65,0.23,0
69,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),RIM,Rim Board (0402RIM),235637,RIM BOARD ONCENTER OSB SE (1-1/8X11-7/8X12),178.2,58.61,0.33,0
70,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),2,Private (0402),RIM,Rim Board (0402RIM),236058,RIM BOARD ONCENTER OSB SE (1-1/8X16X12),716.4,233.5,0.33,0.02
71,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),3,Other (0403),MIS,Miscellaneous (0403MIS),143623,JOIST HANGER TOP MOUNT ITS2.56/16 (2-1/2X16),450,228,0.51,0
72,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),3,Other (0403),MIS,Miscellaneous (0403MIS),143978,JOIST HANGER TOP MOUNT ITS3.56/16 (3-1/2X16),209,114,0.55,0
73,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),3,Other (0403),MIS,Miscellaneous (0403MIS),172720,HGUS410 HANGER - HEAVY DUTY DOUBLE LVL (3-1/2 X 9),392,198.24,0.51,0
74,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),3,Other (0403),MIS,Miscellaneous (0403MIS),305982,JOIST HANGER TOP MOUNT ITS2.56/11.88 (2-1/2X11-7/8),112,60.16,0.54,0
75,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),3,Other (0403),MIS,Miscellaneous (0403MIS),454242,HGUS5.50/12 HANGER,90,6.18,0.07,0
76,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),3,Other (0403),MIS,Miscellaneous (0403MIS),460875,BEAM HANGER FACE MOUNT HU414-2 (7X14),150,75.91,0.51,0
77,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),3,Other (0403),MIS,Miscellaneous (0403MIS),671334,JOIST HANGER FACE MOUNT IUS2.56/11.88 (2-1/2 X 11-7/8),30,16.14,0.54,0
78,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),3,Other (0403),MIS,Miscellaneous (0403MIS),717196,JOIST HANGER FACE MOUNT IUS3.56/16 (3-1/2 X 16),810,428.38,0.53,0
79,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),3,Other (0403),MIS,Miscellaneous (0403MIS),772242,JOIST HANGER FACE MOUNT IUS2.56/16 (2-1/2 X 16),133.16,68.51,0.51,0
80,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,ROSS GRADEN #1562T (DOITFORIN-348),Specialty,4,Engineered Wood Products (04),3,Other (0403),MIS,Miscellaneous (0403MIS),782367,HUC410 HANGER (3-1/2 X 9),20,10.48,0.52,0
81,3/30/2025,3/31/2025,Central,Birmingham,BIR,Warehouse,DO IT BEST CORP,RUSSELL DIB #5562 - AUBURN (DOITFORIN-334),Specialty,1,Specialty Products (01),2,Panels (0102),OSB,OSB Products (0102OSB),673941,OSB TECH-SHIELD (7/16X4X8),2053.44,186.49,0.09,0.14
